round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.5132218696049281,0.8109285831451416,0.5176095207248416,0.8061607,elu,64,0.1,10,60,0,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.47210974466800687,0.8237142562866211,0.4761513509494918,0.82033926,relu,32,0.0,10,20,3,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4887563326018197,0.8172857165336609,0.48067524889537266,0.818125,elu,128,0.0,10,20,3,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5016556614807673,0.8117856979370117,0.5288662223134722,0.80155355,elu,128,0.2,10,60,3,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.47441820578915733,0.8227142691612244,0.4654173841902188,0.8229107,relu,32,0.0,10,40,3,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.532630163873945,0.8052142858505249,0.5588377523422241,0.79317856,elu,128,0.2,10,20,0,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.49101298747743877,0.815500020980835,0.5087227722406388,0.8098393,relu,32,0.2,10,40,0,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.4696591146332877,0.8270714282989502,0.48257943889072963,0.8215357,relu,128,0.1,10,60,3,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4979509838649205,0.8162857294082642,0.5771705130508967,0.7945179,relu,32,0.2,10,60,2,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.5406934349877494,0.8015000224113464,0.6264024317605155,0.77735716,elu,128,0.2,10,20,3,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4708557997090476,0.824999988079071,0.4632686647389616,0.82276785,elu,32,0.0,10,40,3,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5027519193717411,0.8126428723335266,0.5223356605001859,0.8094107,relu,32,0.1,10,20,3,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.46786614768845697,0.8264999985694885,0.44157688740321566,0.8320357,relu,128,0.0,10,40,3,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5453035253116063,0.7994999885559082,0.5542001349585397,0.79642856,elu,128,0.2,10,40,0,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.4775820427962712,0.8205714225769043,0.4690466355255672,0.82325,relu,128,0.0,10,20,2,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5620200597218105,0.7915714383125305,0.6861135655982153,0.7542857,relu,32,0.2,10,20,3,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.531205028465816,0.80564284324646,0.5423099361828395,0.7984464,elu,128,0.2,10,60,0,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.5496312426839556,0.7944285869598389,0.6724952874183655,0.75860715,relu,128,0.2,10,40,3,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.522978309903826,0.8111428618431091,0.5991524156842913,0.7844286,relu,128,0.2,10,20,3,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.46471886723382133,0.8282142877578735,0.44810537225859504,0.83082145,relu,32,0.0,10,60,3,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5039351318734033,0.8115000128746033,0.5191803547910282,0.80826783,relu,32,0.1,10,20,3,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.4614964715072087,0.8274999856948853,0.4423441231931959,0.8330357,relu,64,0.0,10,60,2,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.47571169560296195,0.8218571543693542,0.4572663843120847,0.82760715,relu,64,0.0,10,40,3,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.46925210794380734,0.8220000267028809,0.47623382878729276,0.8225536,relu,32,0.1,10,60,2,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.5121755813871112,0.8114285469055176,0.6059210892745427,0.786,relu,64,0.2,10,40,2,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.4738871117319379,0.8227857351303101,0.4637387505088534,0.82533926,relu,64,0.0,10,40,1,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.47342935674531117,0.8212142586708069,0.5087018080609186,0.81185716,relu,64,0.2,10,60,2,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.48740741682052613,0.8170714378356934,0.4725211453097207,0.8200179,elu,64,0.0,10,40,2,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.5176813051359994,0.8105714321136475,0.5282982974733625,0.8027143,elu,64,0.1,10,20,0,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.49623679988724845,0.8121428489685059,0.5243978221459048,0.80242854,elu,32,0.2,10,60,1,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.5049499175889152,0.810785710811615,0.5348445675713676,0.79892856,elu,64,0.2,10,40,1,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.5188244432040623,0.8065714240074158,0.5574998829705374,0.79251784,elu,64,0.1,10,20,2,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.47224375702653615,0.8234285712242126,0.48555216246417593,0.818625,relu,32,0.1,10,40,1,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5260536017417907,0.8067142963409424,0.5173885337284633,0.8092143,elu,64,0.0,10,20,0,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.49306404634884426,0.8174285888671875,0.4816702290773392,0.81801784,elu,64,0.0,10,40,0,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.48134462029593333,0.8197857141494751,0.5065034767389297,0.8092857,elu,64,0.1,10,60,3,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4996117079598563,0.8146428465843201,0.5050079127720424,0.8090357,elu,64,0.1,10,60,0,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5054323067324502,0.8134285807609558,0.5076046636615481,0.8106964,elu,64,0.1,10,60,0,60,softmax,10,categorical_crossentropy,Nadam,brick
